first_name,last_name,full_name,year_id,set_id,card_number,team,onbase,strikeout,groundball,flyball,base_on_balls,single,single_plus,double,triple,homerun,points,speed,hand,starting_position,fielding_one,starting_position_two,fielding_two,starting_position_three,fielding_three,starting_position_four,fielding_four,total_outs,extra_base_hits,number_of_positions
Garret,Anderson,Garret Anderson,2000,BS,1,Angels,7,0,3,1,0,10,0,3,0,3,250,15,L,CF,3,LFRF,2,NULL,NULL,NULL,NULL,4,6,2
Gary,DiSarcina,Gary DiSarcina,2000,BS,3,Angels,5,0,1,1,1,17,0,0,0,0,40,15,R,SS,4,NULL,NULL,NULL,NULL,NULL,NULL,2,0,1
Darin,Erstad,Darin Erstad,2000,BS,4,Angels,6,0,2,1,2,10,1,1,1,2,140,15,L,LFRF,2,1B,1,NULL,NULL,NULL,NULL,3,5,2
Troy,Glaus,Troy Glaus,2000,BS,6,Angels,7,2,0,2,7,3,0,2,0,4,240,15,R,3B,1,NULL,NULL,NULL,NULL,NULL,NULL,4,6,1
Todd,Greene,Todd Greene,2000,BS,7,Angels,5,0,0,2,0,6,0,5,0,7,180,15,R,LFRF,1,NULL,NULL,NULL,NULL,NULL,NULL,2,12,1
Jeff,Huson,Jeff Huson,2000,BS,8,Angels,7,0,5,0,2,11,2,0,0,0,160,20,L,2B,4,SS,4,NULL,NULL,NULL,NULL,5,2,2
Orlando,Palmeiro,Orlando Palmeiro,2000,BS,9,Angels,8,0,2,1,6,9,1,1,0,0,150,15,L,LFRF,1,NULL,NULL,NULL,NULL,NULL,NULL,3,2,1
Tim,Salmon,Tim Salmon,2000,BS,12,Angels,8,1,0,2,8,4,0,2,0,3,290,15,R,LFRF,1,NULL,NULL,NULL,NULL,NULL,NULL,3,5,1
Mo,Vaughn,Mo Vaughn,2000,BS,14,Angels,8,3,1,1,4,6,0,1,0,4,300,10,L,1B,0,NULL,NULL,NULL,NULL,NULL,NULL,5,5,1
Matt,Walbeck,Matt Walbeck,2000,BS,15,Angels,6,0,1,1,4,13,0,0,0,1,100,15,S,C,7,NULL,NULL,NULL,NULL,NULL,NULL,2,1,1
