first_name,last_name,full_name,year_id,set_id,card_number,team,control,put_out,strikeout,groundball,flyball,base_on_balls,single,double,homerun,points,innings_pitched,hand,position
Tim,Belcher,Tim Belcher,2000,BS,2,Angels,0,3,2,7,6,0,1,1,0,110,6,R,Starter
Chuck,Finley,Chuck Finley,2000,BS,5,Angels,5,2,5,5,3,2,2,1,0,470,6,L,Starter
Troy,Percival,Troy Percival,2000,BS,10,Angels,3,2,6,3,7,1,0,1,0,180,1,R,Closer
Mark,Petkovsek,Mark Petkovsek,2000,BS,11,Angels,3,3,3,7,4,0,2,1,0,130,1,R,Reliever
Steve,Sparks,Steve Sparks,2000,BS,13,Angels,0,4,3,5,6,1,1,0,0,150,6,R,Starter
Andy,Benes,Andy Benes,2000,BS,17,Diamondbacks,4,2,4,5,4,2,2,1,0,350,6,R,Starter
Omar,Daal,Omar Daal,2000,BS,18,Diamondbacks,5,2,4,5,4,2,2,1,0,510,7,R,Starter
Randy,Johnson,Randy Johnson,2000,BS,24,Diamondbacks,3,2,10,3,3,1,1,0,0,630,8,L,Starter
Matt,Mantei,Matt Mantei,2000,BS,26,Diamondbacks,3,1,10,2,3,4,0,0,0,150,1,R,Closer
Dan,Plesac,Dan Plesac,2000,BS,27,Diamondbacks,4,2,7,2,4,1,3,1,0,90,1,L,Reliever
Greg,Swindell,Greg Swindell,2000,BS,29,Diamondbacks,3,2,5,4,6,1,2,0,0,140,1,L,Reliever
Tom,Glavine,Tom Glavine,2000,BS,33,Braves,4,3,3,6,3,1,4,0,0,450,7,L,Starter
Greg,Maddux,Greg Maddux,2000,BS,41,Braves,5,3,4,6,2,0,4,1,0,480,7,R,Starter
Kevin,Millwood,Kevin Millwood,2000,BS,42,Braves,3,3,6,4,5,0,1,1,0,550,7,R,Starter
Mike,Remlinger,Mike Remlinger,2000,BS,44,Braves,6,2,6,4,3,2,3,0,0,170,1,L,Reliever
John,Rocker,John Rocker,2000,BS,45,Braves,5,2,9,2,3,2,2,0,0,200,1,L,Closer
John,Smoltz,John Smoltz,2000,BS,46,Braves,6,2,5,5,3,1,3,1,0,550,6,R,Starter
Scott,Erickson,Scott Erickson,2000,BS,55,Orioles,4,2,2,8,3,1,3,1,0,400,7,R,Starter
Mike,Mussina,Mike Mussina,2000,BS,57,Orioles,3,2,5,6,4,0,2,1,0,470,7,R,Starter
Jesse,Orosco,Jesse Orosco,2000,BS,58,Orioles,3,1,6,5,4,2,1,1,0,110,1,L,Reliever
Sidney,Ponson,Sidney Ponson,2000,BS,59,Orioles,3,3,3,5,5,1,2,1,0,370,7,R,Starter
Mike,Timlin,Mike Timlin,2000,BS,63,Orioles,6,2,4,6,3,2,2,1,0,190,1,R,Closer
Rod,Beck,Rod Beck,2000,BS,64,Red Sox,3,3,3,5,5,0,2,2,0,80,1,R,Reliever
Rheal,Cormier,Rheal Cormier,2000,BS,66,Red Sox,6,3,3,6,3,1,3,1,0,150,1,L,Reliever
Derek,Lowe,Derek Lowe,2000,BS,70,Red Sox,6,3,4,7,2,1,2,1,0,180,1,R,Reliever
Pedro,Martinez,Pedro Martinez,2000,BS,71,Red Sox,5,2,9,3,3,0,2,1,0,660,7,R,Starter
Mark,Portugal,Mark Portugal,2000,BS,75,Red Sox,3,2,3,6,5,0,2,1,1,120,5,R,Starter
Pat,Rapp,Pat Rapp,2000,BS,76,Red Sox,4,2,3,7,3,2,3,0,0,370,5,R,Starter
Tim,Wakefield,Tim Wakefield,2000,BS,80,Red Sox,4,2,4,4,5,2,2,1,0,220,2,R,Reliever
Rick,Aguilera,Rick Aguilera,2000,BS,81,Cubs,3,2,5,5,6,0,1,1,0,170,1,R,Closer
Kyle,Farnsworth,Kyle Farnsworth,2000,BS,83,Cubs,4,3,3,4,5,1,2,1,1,170,6,R,Starter
Jon,Lieber,Jon Lieber,2000,BS,87,Cubs,5,2,6,4,3,0,4,1,0,420,6,R,Starter
Scott,Sanders,Scott Sanders,2000,BS,92,Cubs,0,2,6,5,5,1,1,0,0,70,1,R,Reliever
Steve,Trachsel,Steve Trachsel,2000,BS,95,Cubs,3,2,5,5,4,1,2,1,0,330,6,R,Starter
James,Baldwin,James Baldwin,2000,BS,96,White Sox,3,3,3,5,5,1,2,1,0,330,6,R,Starter
Bob,Howry,Bob Howry,2000,BS,100,White Sox,5,2,6,3,4,3,2,0,0,180,1,R,Closer
Jim,Parque,Jim Parque,2000,BS,105,White Sox,0,3,4,6,5,1,1,0,0,160,6,L,Starter
Bill,Simas,Bill Simas,2000,BS,106,White Sox,3,3,3,5,5,1,2,1,0,100,1,R,Reliever
Mike,Sirotka,Mike Sirotka,2000,BS,108,White Sox,5,2,3,6,4,1,3,1,0,490,7,L,Starter
Danny,Graves,Danny Graves,2000,BS,114,Reds,4,2,4,7,3,2,2,0,0,180,1,R,Closer
Pete,Harnisch,Pete Harnisch,2000,BS,115,Reds,4,2,4,5,5,1,2,1,0,450,6,R,Starter
Scott,Sullivan,Scott Sullivan,2000,BS,118,Reds,6,3,4,3,5,2,2,1,0,150,1,R,Reliever
Brett,Tomko,Brett Tomko,2000,BS,120,Reds,5,2,4,4,5,1,1,2,1,230,6,R,Starter
Ron,Villone,Ron Villone,2000,BS,123,Reds,3,4,4,4,4,2,1,1,0,340,6,L,Starter
Scott,Williamson,Scott Williamson,2000,BS,124,Reds,3,1,8,4,5,2,0,0,0,190,1,R,Closer
Dave,Burba,Dave Burba,2000,BS,128,Indians,3,2,4,5,5,1,2,1,0,370,7,R,Starter
Bartolo,Colon,Bartolo Colon,2000,BS,129,Indians,3,3,4,6,4,1,1,1,0,440,6,R,Starter
Mike,Jackson,Mike Jackson,2000,BS,132,Indians,6,3,4,5,3,2,3,0,0,200,1,R,Closer
Charles,Nagy,Charles Nagy,2000,BS,135,Indians,3,3,3,6,4,0,3,1,0,320,6,R,Starter
Paul,Shuey,Paul Shuey,2000,BS,138,Indians,6,2,6,5,2,2,2,1,0,160,1,R,Reliever
Pedro,Astacio,Pedro Astacio,2000,BS,143,Rockies,4,2,5,4,4,1,2,1,1,220,7,R,Starter
Brian,Bohanon,Brian Bohanon,2000,BS,147,Rockies,0,3,4,5,5,1,1,1,0,10,6,L,Starter
Jerry,Dipoto,Jerry Dipoto,2000,BS,149,Rockies,0,1,6,6,5,1,1,0,0,70,1,R,Reliever
Darryl,Kile,Darryl Kile,2000,BS,151,Rockies,0,2,4,6,5,1,1,1,0,10,6,R,Starter
Curtis,Leskanic,Curtis Leskanic,2000,BS,152,Rockies,0,2,7,7,2,1,0,1,0,60,1,R,Reliever
Dave,Veres,Dave Veres,2000,BS,155,Rockies,0,3,7,5,3,0,1,0,1,60,1,R,Closer
Todd,Jones,Todd Jones,2000,BS,165,Tigers,3,2,5,6,3,2,2,0,0,150,1,R,Closer
Dave,Mlicki,Dave Mlicki,2000,BS,167,Tigers,3,3,3,6,4,1,2,1,0,340,6,R,Starter
